DATE,O,H,L,C,V
2019.05.27 00:00:00,1.83588,1.83826,1.82966,1.83211,91739
2019.05.28 00:00:00,1.83119,1.83335,1.82656,1.82699,123865
2019.05.29 00:00:00,1.82693,1.83069,1.82436,1.82475,122622
2019.05.30 00:00:00,1.82431,1.8263,1.81931,1.82348,100592
2019.05.31 00:00:00,1.82318,1.82683,1.81682,1.8209,141615
2019.06.03 00:00:00,1.82069,1.82445,1.81236,1.81453,137128
2019.06.04 00:00:00,1.8145,1.81916,1.81161,1.81563,137313
2019.06.05 00:00:00,1.81522,1.82297,1.81333,1.81971,136030
2019.06.06 00:00:00,1.82153,1.82279,1.81616,1.81845,118656
2019.06.07 00:00:00,1.81874,1.82667,1.81602,1.81922,107553
2019.06.10 00:00:00,1.81695,1.8265,1.81575,1.82166,127582
2019.06.11 00:00:00,1.82164,1.83016,1.82088,1.82722,134944
2019.06.12 00:00:00,1.82678,1.83562,1.82566,1.83075,139959
2019.06.13 00:00:00,1.83058,1.83764,1.82882,1.83193,131027
2019.06.14 00:00:00,1.83259,1.83837,1.83046,1.83173,137699
2019.06.17 00:00:00,1.82943,1.83532,1.82839,1.8284,102315
2019.06.18 00:00:00,1.82851,1.8349,1.82175,1.82543,135737
2019.06.19 00:00:00,1.82539,1.84071,1.82362,1.83612,127083
2019.06.20 00:00:00,1.83553,1.84211,1.82876,1.83447,159237
2019.06.21 00:00:00,1.83301,1.83969,1.82965,1.8393,154223
2019.06.24 00:00:00,1.83692,1.83858,1.826,1.8289,121123
2019.06.25 00:00:00,1.82743,1.83648,1.82105,1.82264,147792
2019.06.26 00:00:00,1.82384,1.82439,1.81298,1.81585,147408
2019.06.27 00:00:00,1.81603,1.81955,1.80726,1.80736,132817
2019.06.28 00:00:00,1.80796,1.815,1.80544,1.8074,123990
2019.07.01 00:00:00,1.80647,1.81698,1.80476,1.81407,126001
2019.07.02 00:00:00,1.81409,1.81565,1.79946,1.79995,117612
2019.07.03 00:00:00,1.79986,1.80308,1.78522,1.78806,104406
2019.07.04 00:00:00,1.78791,1.79324,1.78563,1.79091,78279
2019.07.05 00:00:00,1.79092,1.79524,1.78579,1.79465,129891
2019.07.08 00:00:00,1.79549,1.79608,1.78973,1.79435,89059
2019.07.09 00:00:00,1.79391,1.80118,1.79391,1.79922,100490
2019.07.10 00:00:00,1.79923,1.80385,1.79416,1.79608,127203
2019.07.11 00:00:00,1.79685,1.8002,1.79289,1.79412,131457
2019.07.12 00:00:00,1.79417,1.79637,1.78903,1.79063,118200
2019.07.15 00:00:00,1.78927,1.79177,1.77754,1.77754,96736
2019.07.16 00:00:00,1.77735,1.7792,1.76282,1.76871,128772
2019.07.17 00:00:00,1.76883,1.77542,1.76658,1.77328,110354
2019.07.18 00:00:00,1.77299,1.77618,1.76702,1.7727,129139
2019.07.19 00:00:00,1.77317,1.77809,1.77139,1.77469,120576
2019.07.22 00:00:00,1.77443,1.77827,1.7668,1.77283,101846
2019.07.23 00:00:00,1.77274,1.77886,1.76689,1.77512,111542
2019.07.24 00:00:00,1.77569,1.79229,1.77441,1.78863,112869
2019.07.25 00:00:00,1.78856,1.79821,1.78693,1.7916,125924
2019.07.26 00:00:00,1.79183,1.7961,1.78992,1.79223,88406
2019.07.29 00:00:00,1.79165,1.79246,1.76923,1.76976,96028
2019.07.30 00:00:00,1.76986,1.7723,1.75574,1.76749,115699
2019.07.31 00:00:00,1.76757,1.77882,1.76219,1.77611,144937
2019.08.01 00:00:00,1.77573,1.78841,1.7637,1.78275,154947
2019.08.02 00:00:00,1.78297,1.79108,1.77542,1.78797,117213
