step;tick_counter;strelograph_work;pendulum_work;pendulum_control;pendulum_front;sagging_left;sagging_right;satellite;discrete_signals;position
1909;904812.0;-24.77205363443892;-7.126561651276461;-11.223942208462349;-4.247289623128523;-4.786620530565173;-7.292246520874755;-0.0038192771084336;0.0;353.165
1910;905079.0;-24.99647141848976;-6.710483432916874;-9.775541795665646;-3.835312338668018;-4.901960784313729;-7.406418631070721;-0.0038192771084336;0.0;353.35
1911;905632.0;-25.220889202540548;-6.50244432373708;-12.051599587203327;-4.041300980898285;-5.017301038062286;-7.349332575972738;-0.0038192771084336;0.0;353.53499999999997
1912;905907.0;-25.220889202540548;-6.50244432373708;-11.637770897832835;-4.247289623128523;-5.0749711649365565;-7.349332575972738;-0.0038192771084336;0.0;353.71999999999997
1913;906461.0;-25.44530698659139;-7.958718087995663;-11.430856553147578;-4.041300980898285;-4.959630911188;-6.949730190286843;-0.0038192771084336;0.0;353.905
1914;906738.0;-25.220889202540548;-8.998913633894631;-11.223942208462349;-3.835312338668018;-5.0749711649365565;-6.778472024992894;-0.0038192771084336;0.0;354.09
1915;907268.0;-25.44530698659139;-9.414991852254218;-10.189370485036136;-3.835312338668018;-5.0749711649365565;-6.778472024992894;-0.0038192771084336;0.0;354.275
1916;907813.0;-25.44530698659139;-8.790874524714837;-11.637770897832835;-2.8053691275167694;-5.0749711649365565;-6.550127804600962;-0.0038192771084336;0.0;354.46
1917;908089.0;-25.44530698659139;-7.75067897881587;-10.810113519091855;-2.8053691275167694;-4.786620530565173;-6.493041749502979;-0.0038192771084336;0.0;354.645
1918;908680.0;-25.220889202540548;-7.542639869636076;-11.017027863777088;-3.2173464119772746;-4.498269896193776;-6.264697529111047;-0.0038192771084336;0.0;354.83
1919;908912.5;-25.220889202540548;-7.438620315046165;-11.017027863777088;-2.702374806401636;-4.325259515570934;-6.15052541891508;-0.0038192771084336;0.0;355.015
1920;909406.0;-25.220889202540548;-7.542639869636076;-12.258513931888558;-2.393391843056264;-4.094579008073822;-5.865095143425165;-0.0038192771084336;0.0;355.2
1921;909932.0;-25.220889202540548;-7.126561651276461;-12.258513931888558;-1.7754259163654922;-3.690888119953868;-5.57966486793525;-0.0038192771084336;0.0;355.385
1922;910195.0;-24.99647141848976;-6.710483432916874;-10.603199174406626;-2.1874032008259974;-3.3448673587081856;-5.408406702641301;-0.0038192771084336;0.0;355.57
1923;910711.0;-24.99647141848976;-7.75067897881587;-11.223942208462349;-1.981414558595759;-2.998846597462517;-5.122976427151372;-0.0038192771084336;0.0;355.755
1924;911202.0;-24.99647141848976;-7.126561651276461;-10.396284829721369;-1.981414558595759;-2.2491349480968807;-4.666287986367507;-0.003472070098576;0.0;355.94
1925;911453.0;-24.99647141848976;-7.126561651276461;-11.844685242518068;-1.981414558595759;-2.1914648212226098;-4.552115876171541;-0.0038192771084336;0.0;356.125
1926;911753.0;-24.99647141848976;-6.710483432916874;-12.258513931888558;-1.5694372741352538;-1.9031141868512125;-4.437943765975575;-0.0038192771084336;0.0;356.31
1927;912441.0;-24.547635850388133;-5.254209668658319;-16.810629514963892;-1.981414558595759;-1.153402537485576;-3.182050553819934;-0.0038192771084336;0.0;356.495
1928;912935.0;-24.098800282286504;-7.126561651276461;-13.91382868937049;-1.981414558595759;-0.4613610149942388;-2.2115876171542226;-0.0038192771084336;0.0;356.68
1929;913219.0;-24.098800282286504;-7.542639869636076;-12.258513931888558;-1.981414558595759;-0.4613610149942388;-2.0974155069582565;-0.0038192771084336;0.0;356.865
1930;913647.0;-23.87438249823572;-6.918522542096667;-12.465428276573787;-1.981414558595759;-0.4613610149942388;-1.640727066174378;-0.0038192771084336;0.0;357.05
1931;914175.0;-23.42554693013409;-5.670287887017906;-11.017027863777088;-1.363448631904987;0.0;-1.3552967906844628;-0.0038192771084336;0.0;357.235
1932;914645.0;-23.201129146083247;-5.046170559478526;-10.189370485036136;-2.5993804852865026;0.1153402537485561;-1.1840386253905135;-0.0038192771084336;0.0;357.42
1933;914872.5;-23.313338038108668;-5.358229223248216;-9.67208462332303;-2.39339184305625;0.2306805074971123;-1.0413234876455562;-0.0038192771084336;0.0;357.605
1934;915507.0;-22.97671136203246;-5.8783269961977;-9.361713106295156;-2.393391843056264;0.4613610149942388;-0.6131780744106834;-0.0038192771084336;0.0;357.79
1935;915758.0;-22.752293577981646;-5.358229223248216;-9.051341589267295;-2.496386164171384;0.4325259515570963;-0.4990059642147173;-0.0038192771084336;0.0;357.975
1936;916282.0;-22.752293577981614;-5.046170559478526;-7.913312693498455;-2.1874032008259974;0.4036908881199537;-0.327747798920754;-0.0038192771084336;0.0;358.15999999999997
1937;916684.0;-22.527875793930832;3.8995111352525953;-7.4994840041279645;-2.5993804852865026;0.634371395617066;0.0718545867651272;-0.003472070098576;0.0;358.34499999999997
1938;917119.0;-22.30345800987999;8.89244975556764;-6.051083591331292;-2.5993804852865026;0.4036908881199537;0.3572848622550424;-0.003472070098576;0.0;358.53
1939;917505.0;-22.079040225829203;-4.422053231939145;-7.4994840041279645;-2.393391843056264;0.9803921568627488;0.7568872479409237;-0.003472070098576;0.0;358.715
1940;917985.0;-21.85462244177836;-13.367734926670297;-6.051083591331292;-3.2173464119772746;1.3264129181084172;0.8139733030389067;-0.0038192771084336;0.0;358.9
1941;918375.0;-21.40578687367679;-13.991852254209675;-6.464912280701753;-2.393391843056264;1.3840830449827024;1.156489633626805;-0.0038192771084336;0.0;359.085
1942;918630.0;-21.40578687367679;-14.82400869092885;-6.051083591331292;-2.8053691275167694;1.5570934256055295;1.3848338540187513;-0.003472070098576;0.0;359.27
1943;919011.0;-21.40578687367679;-12.951656708310708;-5.430340557275542;-3.011357769747008;1.845444059976927;1.8986083499005983;-0.003472070098576;0.0;359.455
1944;919460.0;-21.181369089625942;-10.247148288973392;-6.878740970072244;-3.011357769747008;2.1337946943483246;2.412382845782446;-0.0038192771084336;0.0;359.64
1945;919880.0;-20.73253352152432;-9.206952743074424;-7.292569659442734;-3.011357769747008;2.306805074971166;2.754899176370344;-0.0038192771084336;0.0;359.825
1946;920297.0;-20.73253352152432;-9.206952743074424;-6.878740970072244;-3.62932369643778;2.364475201845451;2.9832433967622904;-0.003472070098576;0.0;360.01
1947;920707.0;-20.95695130557516;-9.206952743074424;-5.637254901960802;-3.2173464119772746;2.422145328719722;3.2115876171542226;-0.0038192771084336;0.0;360.195
1948;921069.0;-20.50811573747353;-8.790874524714837;-7.4994840041279645;-3.011357769747008;2.5374855824682783;3.4399318375461547;-0.0038192771084336;0.0;360.38
1949;921902.0;-19.83486238532106;-8.37479630635525;-7.292569659442734;-3.62932369643778;2.768166089965405;3.554103947742121;-0.0038192771084336;0.0;360.565
1950;922304.0;-20.059280169371903;-8.37479630635525;-7.085655314757503;-3.2173464119772746;2.71049596309112;3.611190002840104;-0.0038192771084336;0.0;360.75
1951;922658.0;-19.83486238532106;-8.998913633894631;-7.292569659442734;-3.2173464119772746;2.71049596309112;3.611190002840104;-0.0038192771084336;0.0;360.935
1952;922896.0;-19.83486238532106;-9.206952743074424;-7.085655314757503;-3.423335054207513;2.6528258362168344;3.668276057938087;-0.0038192771084336;0.0;361.12
1953;923273.0;-19.610444601270277;-8.582835415535044;-7.085655314757503;-3.423335054207513;2.5374855824682783;3.668276057938087;-0.0038192771084336;0.0;361.305
1954;923659.0;-19.386026817219488;-8.37479630635525;-7.4994840041279645;-3.2173464119772746;2.5374855824682783;3.668276057938087;-0.0038192771084336;0.0;361.49
1955;924397.0;-18.93719124911786;-8.790874524714837;-6.878740970072244;-3.423335054207513;2.5374855824682783;3.611190002840104;-0.0038192771084336;0.0;361.675
1956;924818.0;-18.93719124911786;-8.790874524714837;-6.671826625387013;-2.8053691275167694;2.4798154555940077;3.554103947742121;-0.0038192771084336;0.0;361.86
1957;925191.0;-18.93719124911786;-8.166757197175457;-6.464912280701753;-3.2173464119772746;2.5951557093425635;3.4970178926441378;-0.0038192771084336;0.0;362.045
1958;925562.0;-18.48835568101623;-7.334600760456254;-6.671826625387013;-3.2173464119772746;2.5951557093425635;3.3257597273501887;-0.0038192771084336;0.0;362.23
1959;925940.0;-18.263937896965388;-6.918522542096667;-6.051083591331292;-3.62932369643778;2.6528258362168344;2.9261573416643074;-0.0038192771084336;0.0;362.415
1960;926282.0;-18.0395201129146;-7.542639869636076;-6.051083591331292;-3.423335054207513;2.6528258362168344;2.754899176370344;-0.0038192771084336;0.0;362.6
1961;926694.0;-18.0395201129146;-7.958718087995663;-5.844169246646032;-3.423335054207513;2.768166089965405;2.469468900880429;-0.0038192771084336;0.0;362.78499999999997
1962;927421.0;-17.81510232886376;-5.670287887017906;-5.430340557275542;-3.62932369643778;2.71049596309112;1.8986083499005983;-0.0038192771084336;0.0;362.96999999999997
1963;927792.0;-17.590684544812973;-4.838131450298732;-5.430340557275542;-1.7754259163654922;2.883506343713961;1.4419199091167345;-0.0038192771084336;0.0;363.155
1964;928127.0;-18.0395201129146;-5.046170559478526;-5.637254901960802;-2.8053691275167694;2.5374855824682783;0.9281454132348728;-0.0038192771084336;0.0;363.34
1965;928533.0;-17.81510232886376;-5.670287887017906;-5.637254901960802;-4.6592669075890285;2.941176470588232;0.7568872479409237;-0.0038192771084336;0.0;363.525
1966;928901.0;-17.36626676076213;-6.086366105377493;-5.844169246646032;-4.865255549819295;2.883506343713961;0.6998011928429406;-0.0038192771084336;0.0;363.71
1967;929258.0;-17.590684544812973;-5.462248777838113;-5.844169246646032;-4.041300980898285;2.998846597462517;0.5856290826469746;-0.0038192771084336;0.0;363.895
1968;929945.0;-17.141848976711344;-3.7979359043997647;-6.2579979360165225;-4.865255549819295;3.2871972318339147;0.4143709173530254;-0.0038192771084336;0.0;364.08
1969;930351.0;-16.91743119266056;-4.630092341118939;-6.051083591331292;-4.865255549819295;3.460207612456742;0.3001988071570594;-0.0038192771084336;0.0;364.265
1970;930715.0;-16.91743119266056;-4.838131450298732;-5.844169246646032;-4.6592669075890285;3.7485582468281393;0.3572848622550424;-0.0038192771084336;0.0;364.45
1971;931077.0;-16.91743119266056;-4.630092341118939;-5.637254901960802;-4.45327826535879;3.863898500576696;0.3572848622550424;-0.0038192771084336;0.0;364.635
1972;931427.0;-16.91743119266056;-2.549701249321004;-6.671826625387013;-3.835312338668018;4.036908881199537;0.4143709173530254;-0.0038192771084336;0.0;364.82
1973;931758.0;-16.244177840508087;-2.1336230309614166;-6.2579979360165225;-4.865255549819295;4.152249134948093;0.3001988071570594;-0.0038192771084336;0.0;365.005
1974;932528.0;-15.795342272406458;-6.50244432373708;-6.878740970072244;-5.689210118740306;4.267589388696649;0.3572848622550424;-0.0038192771084336;0.0;365.19
1975;932894.0;-15.570924488355672;-4.838131450298732;-6.2579979360165225;-6.101187403200811;4.613610149942332;0.4714569724510085;-0.0038192771084336;0.0;365.375
1976;933255.0;-15.122088920254043;-3.173818576860384;-5.844169246646032;-5.689210118740306;4.728950403690888;0.4714569724510085;-0.0038192771084336;0.0;365.56
1977;933612.0;-15.122088920254043;-3.173818576860384;-6.464912280701753;-5.483221476510067;5.0749711649365565;0.5285430275489915;-0.0038192771084336;0.0;365.745
1978;933977.0;-14.673253352152416;-4.838131450298732;-5.844169246646032;-5.8951987609705725;5.47866205305651;0.5285430275489915;-0.0038192771084336;0.0;365.93
1979;934346.0;-14.0;-5.046170559478526;-6.671826625387013;-6.307176045431078;5.651672433679352;0.6998011928429406;-0.0038192771084336;0.0;366.115
1980;935070.0;-13.551164431898371;-2.96577946768059;-6.2579979360165225;-5.8951987609705725;6.401384083044988;0.8139733030389067;-0.0038192771084336;0.0;366.3
1981;935379.0;-13.326746647847528;-2.757740358500797;-7.4994840041279645;-5.2772328342798005;6.689734717416371;0.8139733030389067;-0.0038192771084336;0.0;366.485
1982;935767.0;-13.102328863796744;-1.925583921781623;-7.4994840041279645;-5.689210118740306;6.574394463667815;0.7568872479409237;-0.0038192771084336;0.0;366.67
1983;936119.0;-12.8779110797459;-4.214014122759352;-6.878740970072244;-5.8951987609705725;6.805074971164942;0.8139733030389067;-0.0038192771084336;0.0;366.855
1984;936816.0;-12.8779110797459;-3.7979359043997647;-7.4994840041279645;-4.45327826535879;7.035755478662054;1.3277477989207682;-0.0038192771084336;0.0;367.04
1985;937124.0;-12.8779110797459;-1.7175448126018296;-7.4994840041279645;-4.247289623128523;7.266435986159166;1.499005964214717;-0.0038192771084336;0.0;367.225
1986;937483.0;-12.8779110797459;-1.925583921781623;-8.534055727554204;-4.247289623128523;7.3241061130334515;1.6702641295086664;-0.0038192771084336;0.0;367.40999999999997
1987;937821.0;-12.429075511644328;-2.96577946768059;-8.327141382868945;-4.247289623128523;7.497116493656293;1.8986083499005983;-0.0038192771084336;0.0;367.59499999999997
1988;938496.0;-12.204657727593483;-2.549701249321004;-8.120227038183714;-4.247289623128523;7.9008073817762465;2.697813121272361;-0.0038192771084336;0.0;367.78
1989;938826.0;-12.204657727593483;-2.757740358500797;-7.4994840041279645;-4.041300980898285;7.958477508650517;2.9832433967622904;-0.0038192771084336;0.0;367.965
